adopted_Teff,adopted_logg
6107.9,4.44
5761.0,4.427
5134.9,4.512
5090.3,4.556
5089.6,4.557
5089.6,4.557
5864.8,4.459
5626.9,4.485
5241.6,4.504
5241.6,4.504
5367.6,4.539
5890.3,4.251
6193.2,4.389
5205.4,4.536
5364.1,4.564
5368.1,4.562
5540.0,4.521
5862.2,4.462
6032.3,4.462
5233.8,4.55
5233.8,4.55
5326.4,4.507
5129.1,4.545
5129.1,4.545
5208.0,4.531
5208.0,4.531
5208.0,4.531
4240.7,4.633
5184.5,4.556
5099.1,4.546
5288.3,4.51
5288.3,4.51
4869.3,4.555
5244.5,4.559
5711.1,4.504
5579.8,4.568
6134.5,4.457
5143.8,4.617
5160.5,4.548
5160.5,4.548
5664.9,4.445
5594.7,4.474
5144.8,4.588
4468.1,4.618
4468.1,4.618
4468.1,4.618
5479.7,4.484
5479.7,4.484
4797.6,4.596
5831.4,4.486
6116.8,4.445
6116.8,4.445
6021.2,4.452
6101.7,4.442
6101.7,4.442
6101.7,4.442
5407.6,4.489
5459.4,4.518
5235.7,4.562
5022.8,4.553
4149.9,4.634
5175.1,4.587
5059.1,4.591
5059.1,4.591
4590.8,4.615
4590.8,4.615
5447.2,4.511
5447.2,4.511
5632.4,4.471
5632.4,4.471
5632.4,4.471
5438.4,4.505
5438.4,4.505
5438.4,4.505
5438.4,4.505
5438.4,4.505
4936.4,4.561
4936.4,4.561
5060.2,4.533
5060.2,4.533
5060.2,4.533
5626.0,4.493
4684.2,4.575
4655.6,4.59
5490.5,4.524
4897.0,4.559
4897.0,4.559
5840.0,4.493
6056.3,4.448
5265.5,4.516
5908.1,4.46
5908.1,4.46
5908.1,4.46
3958.4,4.7
5285.7,4.538
5496.3,4.548
5383.1,4.518
5956.0,4.412
5563.3,4.545
5563.3,4.545
5563.3,4.545
5040.5,4.576
5040.5,4.576
5977.5,4.422
5360.9,4.542
4885.3,4.585
4981.9,4.57
3971.7,4.647
3971.7,4.647
6058.5,4.47
4496.7,4.626
5325.9,4.497
4768.8,4.568
4768.8,4.568
6143.8,4.427
4393.6,4.655
4157.8,4.627
4975.4,4.6
4958.9,4.588
4384.4,4.617
5418.5,4.557
5805.3,4.453
4971.8,4.566
5187.9,4.537
5187.9,4.537
5943.0,4.508
5085.1,4.586
5213.5,4.564
4468.3,4.587
6054.8,4.403
4804.7,4.588
4804.7,4.588
4804.7,4.588
5190.5,4.515
5391.7,4.53
5355.0,4.504
5589.4,4.445
4383.6,4.664
4942.4,4.603
5353.5,4.522
5212.4,4.503
5212.4,4.503
5434.2,4.509
5448.2,4.519
5043.7,4.535
4680.2,4.594
5391.5,4.499
5116.9,4.517
5275.4,4.501
5138.3,4.553
5765.4,4.43
5712.3,4.499
4792.3,4.575
5795.4,4.394
5795.4,4.394
4325.4,4.618
5162.1,4.518
5057.5,4.537
5530.5,4.473
5219.8,4.509
5623.8,4.438
5075.7,4.576
5324.0,4.544
4529.8,4.617
5249.4,4.515
4687.3,4.588
5139.2,4.559
5139.2,4.559
5139.2,4.559
4965.0,4.55
4241.8,4.646
4183.1,4.67
5843.8,4.435
4234.0,4.63
4756.0,4.599
5488.6,4.527
3979.6,4.662
4916.7,4.58
4783.2,4.588
4573.3,4.59
4976.6,4.579
5112.7,4.566
5747.3,4.503
5666.7,4.473
4675.8,4.563
4933.8,4.563
4901.0,4.618
4765.6,4.558
4244.0,4.65
4548.4,4.581
4814.6,4.616
4683.5,4.583
5373.2,4.532
4097.0,4.616
4053.6,4.656
4609.3,4.586
4278.7,4.666
4278.7,4.666
3853.9,4.714
3853.9,4.714
3853.9,4.714
4247.7,4.624
4550.0,4.6
5647.3,4.533
4638.3,4.597
4638.3,4.597
5877.0,4.434
3829.7,4.681
4563.9,4.591
3826.8,4.696
4329.7,4.619
4329.7,4.619
4216.7,4.625
3879.1,4.729
3930.7,4.672
3930.7,4.672
3930.7,4.672
3930.7,4.672
3930.7,4.672
3990.5,4.595
3990.5,4.595
4199.4,4.61
4131.9,4.661
6055.3,4.347
5209.3,4.502
4677.1,4.57
4906.2,4.566
5988.2,4.409
5098.6,4.598
4942.0,4.579
6172.0,4.331
4866.3,4.591
5713.1,4.486
4617.6,4.588
5943.7,4.425
5543.6,4.463
5313.1,4.552
5825.2,4.416
4916.9,4.597
4601.2,4.613
4404.8,4.609
4702.7,4.603
4165.7,4.646
5167.0,4.555
6146.3,4.388
4550.6,4.608
4266.8,4.646
5586.9,4.473
4703.8,4.613
4215.8,4.637
5637.4,4.47
5739.2,4.457
5146.2,4.517
5406.5,4.527
5288.6,4.543
5646.0,4.508
4709.1,4.61
5110.3,4.532
5866.8,4.493
4770.5,4.578
5280.6,4.542
4698.0,4.572
5795.9,4.477
5803.3,4.45
6164.7,4.382
4810.5,4.573
6106.0,4.497
6090.9,4.412
5632.7,4.509
5685.7,4.56
5778.9,4.495
5180.0,4.548
5848.6,4.487
5231.7,4.564
5849.0,4.426
5291.0,4.561
5536.6,4.523
4311.4,4.608
4132.3,4.641
6134.4,4.406
4529.8,4.617
4211.8,4.637
