kepid,kepoi_name,kepler_name,koi_disposition,adopted_Teff,Prot,adopted_rp,adopted_period,flag_dr3_ruwe_outlier,flag_koi_is_grazing,flag_gyro_quality,flag_planet_quality,has_hires,t_gyro,t_li,Li_EW,comment,are_gyro_and_li_consistent
5088591,K01801.01,Kepler-955 b,CONFIRMED,5221,7.50,2.69,14.53,0,0,64,0,1,$397^{+99}_{-131}$,$536^{+481}_{-237}$,$79\pm4$,,Yes
11017901,K01800.01,Kepler-447 b,CONFIRMED,5648,6.40,18.49,7.79,0,1,1024,4,1,$420^{+64}_{-78}$,$405^{+355}_{-203}$,$103\pm3$,,Yes
11657614,K03370.02,Kepler-1481 b,CONFIRMED,4832,9.11,1.09,5.94,0,0,0,0,1,$407^{+126}_{-118}$,$> 210$,$22\pm7$,\checkmark,Yes
5881120,K04156.01,Kepler-1943 b,CONFIRMED,6002,--,1.29,4.85,--,1,518,4,1,--,$409^{+520}_{-254}$,$99\pm5$,,No
5640085,K00448.01,Kepler-159 b,CONFIRMED,4511,10.50,2.30,10.14,0,0,2048,0,1,$415^{+159}_{-110}$,$> 161$,$19\pm10$,\checkmark,Yes
5640085,K00448.02,Kepler-159 c,CONFIRMED,4511,10.50,2.75,43.59,0,0,2048,0,1,$415^{+159}_{-110}$,$> 161$,$19\pm10$,\checkmark,Yes
10905239,K00046.01,Kepler-101 b,CONFIRMED,5498,--,5.90,3.49,--,0,518,0,1,--,$419^{+349}_{-196}$,$100\pm5$,,No
7838675,K04169.01,Kepler-1561 b,CONFIRMED,5742,6.18,0.94,1.01,0,0,1024,0,1,$426^{+74}_{-78}$,$1409^{+1718}_{-788}$,$66\pm3$,\checkmark \checkmark,Maybe
5175986,K02708.01,Kepler-1320 b,CONFIRMED,4536,10.46,1.39,0.87,0,0,0,0,1,$429^{+172}_{-113}$,$> 140$,$25\pm32$,\checkmark,Yes
9471974,K00119.01,Kepler-108 b,CONFIRMED,5626,--,8.20,49.18,--,0,418,0,1,--,$438^{+402}_{-220}$,$100\pm5$,,No
9471974,K00119.02,Kepler-108 c,CONFIRMED,5626,--,7.78,190.32,--,1,418,4,1,--,$438^{+402}_{-220}$,$100\pm5$,,No
9139084,K00323.01,Kepler-523 b,CONFIRMED,5267,7.60,1.90,5.84,0,0,0,0,1,$444^{+87}_{-114}$,$1824^{+2706}_{-1047}$,$49\pm4$,\checkmark \checkmark,Maybe
