kepid,kepoi_name,kepler_name,koi_disposition,adopted_Teff,Prot,adopted_rp,adopted_period,flag_dr3_ruwe_outlier,flag_koi_is_grazing,flag_gyro_quality,flag_planet_quality,has_hires,t_gyro,t_li,Li_EW,comment,are_gyro_and_li_consistent
8231667,K03494.01,Kepler-1926 b,CONFIRMED,4816,21.81,2.67,42.88,1,0,128,0,0,$2409^{+96}_{-89}$,--,--,,--
6221385,K06145.01,Kepler-1641 b,CONFIRMED,5972,12.56,3.01,19.67,0,0,0,0,0,$2410^{+839}_{-633}$,--,--,,--
6221385,K06145.02,Kepler-1641 c,CONFIRMED,5972,12.56,2.76,32.66,0,0,0,0,0,$2410^{+839}_{-633}$,--,--,,--
7849854,K00897.01,Kepler-718 b,CONFIRMED,5869,14.79,13.66,2.05,0,0,0,0,0,$2420^{+626}_{-462}$,--,--,,--
11126381,K01863.01,Kepler-1673 b,CONFIRMED,6029,11.20,2.85,33.79,0,0,0,0,1,$2422^{+853}_{-684}$,$2554^{+3180}_{-1593}$,$55\pm4$,,Yes
9279354,K02060.01,Kepler-1788 b,CONFIRMED,4670,21.66,1.92,2.80,0,1,0,4,1,$2426^{+104}_{-94}$,$> 172$,$21\pm23$,,Yes
9589524,K00468.01,Kepler-563 b,CONFIRMED,4955,22.00,3.06,22.18,0,0,2048,0,0,$2434^{+101}_{-93}$,--,--,,--
9844088,K00470.01,Kepler-564 b,CONFIRMED,5588,18.99,4.70,3.75,0,0,0,0,0,$2434^{+233}_{-184}$,--,--,,--
10616679,K00429.01,Kepler-550 b,CONFIRMED,5059,21.81,4.17,8.60,0,0,0,0,0,$2436^{+112}_{-100}$,--,--,,--
11356260,K01441.01,Kepler-851 b,CONFIRMED,5251,21.24,1.62,8.51,0,1,0,4,0,$2442^{+132}_{-115}$,--,--,,--
9654468,K02417.01,Kepler-1684 b,CONFIRMED,4572,21.36,2.88,47.71,0,1,0,4,0,$2443^{+119}_{-103}$,--,--,,--
5695396,K00283.01,Kepler-131 b,CONFIRMED,5699,17.73,2.03,16.09,0,0,64,0,1,$2444^{+314}_{-244}$,$> 822$,$4\pm7$,,Yes
5695396,K00283.02,Kepler-131 c,CONFIRMED,5699,17.73,0.82,25.52,0,0,64,0,1,$2444^{+314}_{-244}$,$> 822$,$4\pm7$,,Yes
11361646,K00330.01,Kepler-524 b,CONFIRMED,6010,11.84,2.75,7.97,0,0,2566,0,1,$2457^{+915}_{-701}$,$> 241$,$38\pm4$,,Yes
11361646,K00330.02,Kepler-524 c,CONFIRMED,6010,11.84,1.24,1.89,0,0,2566,0,1,$2457^{+915}_{-701}$,$> 241$,$38\pm4$,,Yes
8822216,K00581.01,Kepler-610 b,CONFIRMED,5669,18.22,3.15,7.00,0,0,0,0,0,$2462^{+317}_{-238}$,--,--,,--
8822216,K00581.02,Kepler-610 c,CONFIRMED,5669,18.22,2.37,151.86,0,0,0,0,0,$2462^{+317}_{-238}$,--,--,,--
7269493,K01961.01,Kepler-1027 b,CONFIRMED,5346,20.98,0.91,1.91,1,0,2688,0,1,$2469^{+144}_{-126}$,$> 701$,$1\pm10$,,Yes
10531955,K02208.01,Kepler-1141 b,CONFIRMED,5556,19.49,0.88,2.34,0,1,512,4,1,$2470^{+241}_{-184}$,$> 579$,$18\pm11$,,Yes
2571238,K00084.01,Kepler-19 b,CONFIRMED,5518,19.83,2.31,9.29,0,0,0,0,1,$2471^{+204}_{-164}$,$> 889$,$-1\pm4$,,Yes
6029239,K00304.01,Kepler-518 b,CONFIRMED,5761,16.97,2.26,8.51,0,0,0,0,1,$2476^{+409}_{-311}$,$> 404$,$34\pm3$,,Yes
4483138,K02910.01,Kepler-1384 b,CONFIRMED,5011,22.11,1.80,15.36,0,0,800,0,0,$2480^{+127}_{-106}$,--,--,,--
11037511,K02580.01,Kepler-1281 b,CONFIRMED,5257,21.48,1.59,3.12,1,0,384,0,0,$2486^{+149}_{-125}$,--,--,,--
7134976,K00874.01,Kepler-246 b,CONFIRMED,4955,22.42,2.05,4.60,0,0,0,0,1,$2492^{+108}_{-99}$,$> 316$,$6\pm21$,,Yes
7134976,K00874.02,Kepler-246 c,CONFIRMED,4955,22.42,1.40,11.19,0,0,0,0,1,$2492^{+108}_{-99}$,$> 316$,$6\pm21$,,Yes
9015738,K01616.01,Kepler-909 b,CONFIRMED,6110,10.73,1.40,13.93,0,1,0,4,1,$2825^{+1052}_{-863}$,$2498^{+3237}_{-1589}$,$55\pm3$,,Yes
9823519,K02793.01,Kepler-1350 b,CONFIRMED,3891,19.25,2.31,4.50,0,0,4,0,0,$2501^{+186}_{-210}$,--,--,,--
9823519,K02793.02,Kepler-1350 c,CONFIRMED,3891,19.25,1.67,1.77,0,0,4,0,0,$2501^{+186}_{-210}$,--,--,,--
10332883,K01880.01,Kepler-994 b,CONFIRMED,4032,18.86,1.43,1.15,0,0,0,0,1,$2501^{+148}_{-152}$,$> 105$,$9\pm12$,,Yes
5125347,K02241.01,Kepler-1812 b,CONFIRMED,6097,11.20,2.32,7.17,0,0,0,0,0,$2501^{+1306}_{-990}$,--,--,,--
4827723,K00632.01,Kepler-629 b,CONFIRMED,5192,21.96,1.34,7.24,0,0,0,0,1,$2514^{+127}_{-115}$,$> 574$,$6\pm7$,,Yes
2165002,K00999.01,Kepler-263 b,CONFIRMED,5205,21.96,2.61,16.57,0,0,0,0,1,$2523^{+131}_{-118}$,$> 495$,$7\pm15$,,Yes
2165002,K00999.02,Kepler-263 c,CONFIRMED,5205,21.96,2.18,47.33,0,0,0,0,1,$2523^{+131}_{-118}$,$> 495$,$7\pm15$,,Yes
4140813,K02117.01,Kepler-1795 b,CONFIRMED,4012,19.12,1.84,13.36,1,0,128,0,0,$2546^{+154}_{-165}$,--,--,,--
7826659,K02686.01,Kepler-1868 b,CONFIRMED,4475,21.52,3.01,211.03,0,1,0,4,1,$2548^{+138}_{-122}$,$> 197$,$-13\pm11$,,Yes
3122913,K02490.01,Kepler-1845 b,CONFIRMED,4738,22.74,1.90,11.61,0,0,0,0,1,$2549^{+114}_{-104}$,$> 279$,$-20\pm20$,,Yes
7603200,K00314.03,Kepler-138 b,CONFIRMED,3975,19.12,0.64,10.31,0,0,0,0,1,$2550^{+157}_{-170}$,$> 91$,$14\pm14$,,Yes
7603200,K00314.01,Kepler-138 c,CONFIRMED,3975,19.12,1.50,13.78,0,0,0,0,1,$2550^{+157}_{-170}$,$> 91$,$14\pm14$,,Yes
7603200,K00314.02,Kepler-138 d,CONFIRMED,3975,19.12,1.33,23.09,0,0,0,0,1,$2550^{+157}_{-170}$,$> 91$,$14\pm14$,,Yes
4049131,K00811.01,Kepler-687 b,CONFIRMED,4855,22.89,3.30,20.51,0,0,0,0,1,$2552^{+112}_{-103}$,$> 396$,$-19\pm10$,,Yes
10682541,K00751.01,Kepler-663 b,CONFIRMED,5213,22.11,2.80,5.00,0,0,0,0,0,$2553^{+140}_{-124}$,--,--,,--
10363115,K03908.01,Kepler-1929 b,CONFIRMED,6133,--,2.81,59.36,--,0,518,0,1,--,$2554^{+3245}_{-1635}$,$55\pm2$,,No
12784167,K03848.01,Kepler-1522 b,CONFIRMED,5712,18.12,2.00,1.85,0,0,512,0,0,$2557^{+394}_{-290}$,--,--,,--
10593626,K00087.01,Kepler-22 b,CONFIRMED,5625,19.25,1.94,289.86,0,1,0,4,1,$2557^{+267}_{-211}$,$> 879$,$-8\pm10$,,Yes
12557548,K03794.01,Kepler-1520 b,CONFIRMED,4622,22.42,82.25,0.65,0,1,0,4,1,$2559^{+126}_{-112}$,$> 174$,$19\pm17$,,Yes
8826878,K00922.01,Kepler-727 b,CONFIRMED,5275,21.96,2.79,5.15,0,1,0,4,0,$2572^{+148}_{-131}$,--,--,,--
10864531,K02080.02,Kepler-358 b,CONFIRMED,5342,21.66,3.03,34.06,0,0,512,0,0,$2579^{+161}_{-140}$,--,--,,--
10864531,K02080.01,Kepler-358 c,CONFIRMED,5342,21.66,3.01,83.49,0,0,512,0,0,$2579^{+161}_{-140}$,--,--,,--
6310636,K01688.01,Kepler-929 b,CONFIRMED,5947,14.54,1.61,0.92,0,0,2566,0,1,$2756^{+868}_{-631}$,$2583^{+3151}_{-1578}$,$55\pm4$,,Yes
10328393,K01905.01,Kepler-332 b,CONFIRMED,4851,23.21,1.17,7.63,0,0,0,0,1,$2597^{+115}_{-108}$,$> 365$,$-1\pm7$,,Yes
10328393,K01905.02,Kepler-332 c,CONFIRMED,4851,23.21,1.02,16.00,0,0,0,0,1,$2597^{+115}_{-108}$,$> 365$,$-1\pm7$,,Yes
10328393,K01905.03,Kepler-332 d,CONFIRMED,4851,23.21,1.12,34.21,0,0,0,0,1,$2597^{+115}_{-108}$,$> 365$,$-1\pm7$,,Yes
11764462,K01531.01,Kepler-884 b,CONFIRMED,5175,22.55,1.16,5.70,1,0,128,0,1,$2597^{+135}_{-123}$,$> 276$,$34\pm3$,,Yes
6586746,K02747.01,Kepler-1335 b,CONFIRMED,4865,23.21,1.42,6.26,0,0,0,0,0,$2598^{+116}_{-108}$,--,--,,--
4142847,K02210.01,Kepler-1143 b,CONFIRMED,4780,23.21,1.33,2.89,0,0,0,0,1,$2604^{+116}_{-109}$,$> 295$,$1\pm12$,,Yes
4142847,K02210.02,Kepler-1143 c,CONFIRMED,4780,23.21,2.69,210.63,0,0,0,0,1,$2604^{+116}_{-109}$,$> 295$,$1\pm12$,,Yes
10154388,K00991.01,Kepler-744 b,CONFIRMED,5506,20.73,1.62,12.06,1,0,128,0,1,$2615^{+230}_{-182}$,$> 928$,$-13\pm7$,,Yes
4815520,K00367.01,Kepler-1656 b,CONFIRMED,5700,18.62,4.57,31.58,0,0,0,0,1,$2619^{+314}_{-252}$,$> 879$,$1\pm4$,,Yes
5791986,K00413.01,Kepler-151 b,CONFIRMED,5199,22.58,3.11,15.23,0,0,0,0,0,$2620^{+150}_{-131}$,--,--,,--
5791986,K00413.02,Kepler-151 c,CONFIRMED,5199,22.58,2.41,24.67,0,1,0,4,0,$2620^{+150}_{-131}$,--,--,,--
10810838,K00174.01,Kepler-482 b,CONFIRMED,4847,23.40,2.59,56.35,1,1,2176,4,1,$2624^{+117}_{-110}$,$> 358$,$0\pm8$,,Yes
11125613,K02485.01,Kepler-1254 b,CONFIRMED,4909,23.38,1.33,9.99,0,0,0,0,1,$2624^{+118}_{-111}$,$> 378$,$2\pm10$,,Yes
11125613,K02485.02,Kepler-1254 c,CONFIRMED,4909,23.38,1.16,3.60,0,0,0,0,1,$2624^{+118}_{-111}$,$> 378$,$2\pm10$,,Yes
11125613,K02485.03,Kepler-1254 d,CONFIRMED,4909,23.38,1.18,5.73,0,0,0,0,1,$2624^{+118}_{-111}$,$> 378$,$2\pm10$,,Yes
9520838,K01866.01,Kepler-987 b,CONFIRMED,5696,18.70,3.26,105.30,0,0,0,0,1,$2624^{+336}_{-262}$,$> 574$,$0\pm22$,,Yes
7918992,K02095.01,Kepler-1091 b,CONFIRMED,5923,14.57,1.44,1.43,0,0,0,0,0,$2638^{+686}_{-532}$,--,--,,--
11624249,K00356.01,Kepler-536 b,CONFIRMED,5450,21.40,5.95,1.83,1,0,2176,0,1,$2655^{+208}_{-171}$,$> 831$,$-8\pm10$,,Yes
8890150,K02650.01,Kepler-395 c,CONFIRMED,4096,19.66,1.43,34.99,0,0,0,0,1,$2657^{+146}_{-150}$,$> 100$,$16\pm16$,,Yes
7382313,K02392.01,Kepler-1220 b,CONFIRMED,5898,15.21,1.40,7.43,1,0,128,0,0,$2657^{+728}_{-536}$,--,--,,--
10028535,K02493.01,Kepler-1259 b,CONFIRMED,5098,23.21,1.75,0.66,0,1,0,4,0,$2658^{+134}_{-124}$,--,--,,--
11769890,K01980.01,Kepler-1036 b,CONFIRMED,5441,21.51,2.30,122.88,0,1,0,4,1,$2659^{+176}_{-155}$,$> 717$,$7\pm8$,,Yes
9729691,K01751.01,Kepler-949 b,CONFIRMED,5112,23.21,2.46,8.69,0,0,0,0,1,$2665^{+136}_{-125}$,$> 452$,$6\pm14$,,Yes
9729691,K01751.02,Kepler-949 c,CONFIRMED,5112,23.21,2.50,21.00,0,0,0,0,1,$2665^{+136}_{-125}$,$> 452$,$6\pm14$,,Yes
9661979,K02132.01,Kepler-1681 b,CONFIRMED,5369,21.97,3.04,69.90,1,1,128,4,1,$2666^{+221}_{-171}$,$> 620$,$9\pm10$,,Yes
6153407,K03179.01,Kepler-1911 b,CONFIRMED,5721,18.57,1.03,5.99,0,1,0,4,1,$2673^{+414}_{-308}$,$> 889$,$-1\pm4$,,Yes
7678434,K00892.01,Kepler-716 b,CONFIRMED,5037,23.59,2.69,10.37,0,0,2048,0,1,$2690^{+131}_{-123}$,$> 345$,$7\pm22$,,Yes
7678434,K00892.02,Kepler-716 c,CONFIRMED,5037,23.59,1.49,3.97,0,1,2048,4,1,$2690^{+131}_{-123}$,$> 345$,$7\pm22$,,Yes
8349582,K00122.01,Kepler-95 b,CONFIRMED,5813,17.11,3.16,11.52,0,0,512,0,1,$2694^{+484}_{-378}$,$> 785$,$6\pm3$,,Yes
11075737,K00292.01,Kepler-97 b,CONFIRMED,5806,17.25,1.46,2.59,1,0,128,0,1,$2694^{+485}_{-375}$,$> 620$,$19\pm2$,,Yes
2715135,K01024.01,Kepler-753 b,CONFIRMED,4276,20.93,1.82,5.75,0,0,0,0,1,$2698^{+160}_{-155}$,$> 150$,$6\pm12$,,Yes
9881077,K02751.01,Kepler-1337 b,CONFIRMED,4454,22.39,2.04,24.40,0,1,2048,4,1,$2704^{+153}_{-141}$,$> 188$,$2\pm11$,,Yes
12024120,K00265.01,Kepler-507 b,CONFIRMED,6021,12.48,1.27,3.57,0,0,2560,0,1,$2706^{+955}_{-729}$,$> 255$,$36\pm2$,,Yes
3554031,K01194.03,Kepler-415 b,CONFIRMED,4501,22.74,1.40,4.18,0,0,0,0,1,$2706^{+149}_{-137}$,$> 162$,$-8\pm35$,,Yes
3554031,K01194.01,Kepler-415 c,CONFIRMED,4501,22.74,2.29,8.71,0,0,0,0,1,$2706^{+149}_{-137}$,$> 162$,$-8\pm35$,,Yes
9146018,K00584.01,Kepler-192 b,CONFIRMED,5505,21.28,2.65,9.93,0,0,2048,0,1,$2710^{+217}_{-181}$,$> 767$,$8\pm5$,,Yes
9146018,K00584.02,Kepler-192 c,CONFIRMED,5505,21.28,2.39,21.22,0,0,2048,0,1,$2710^{+217}_{-181}$,$> 767$,$8\pm5$,,Yes
9146018,K00584.03,Kepler-192 d,CONFIRMED,5505,21.28,1.06,6.47,0,0,2048,0,1,$2710^{+217}_{-181}$,$> 767$,$8\pm5$,,Yes
5513012,K02668.01,Kepler-1310 b,CONFIRMED,5557,20.78,1.35,0.68,0,0,0,0,1,$2713^{+331}_{-235}$,$> 918$,$-8\pm6$,,Yes
12021625,K02996.01,Kepler-1404 b,CONFIRMED,5111,23.54,1.77,15.93,1,0,128,0,1,$2717^{+139}_{-130}$,$> 369$,$6\pm24$,,Yes
8802165,K00694.01,Kepler-648 b,CONFIRMED,5675,19.52,2.87,17.42,0,0,0,0,1,$2726^{+290}_{-238}$,$> 776$,$4\pm10$,,Yes
9818381,K00135.01,Kepler-43 b,CONFIRMED,6008,12.95,12.17,3.02,0,0,516,0,1,$2729^{+985}_{-735}$,$> 282$,$32\pm8$,,Yes
10155434,K00473.01,Kepler-1720 b,CONFIRMED,5342,22.56,2.63,12.71,0,0,0,0,0,$2731^{+172}_{-153}$,--,--,,--
11754430,K03403.01,Kepler-1488 b,CONFIRMED,5830,--,2.72,39.82,--,0,518,0,1,--,$2733^{+3133}_{-1620}$,$52\pm3$,,No
11754430,K03403.02,Kepler-1488 c,CONFIRMED,5830,--,1.46,6.16,--,0,518,0,1,--,$2733^{+3133}_{-1620}$,$52\pm3$,,No
8229696,K01072.01,Kepler-761 b,CONFIRMED,5772,18.06,2.07,10.13,0,0,0,0,0,$2736^{+441}_{-341}$,--,--,,--
8478994,K00245.02,Kepler-37 c,CONFIRMED,5153,23.54,0.74,21.30,0,0,0,0,1,$2742^{+144}_{-135}$,$> 663$,$-8\pm4$,,Yes
8478994,K00245.01,Kepler-37 d,CONFIRMED,5153,23.54,1.93,39.79,0,0,0,0,1,$2742^{+144}_{-135}$,$> 663$,$-8\pm4$,,Yes
9269042,K02397.01,Kepler-1221 b,CONFIRMED,5195,23.38,1.47,12.00,0,0,0,0,0,$2752^{+178}_{-151}$,--,--,,--
8492026,K02016.01,Kepler-1054 b,CONFIRMED,5979,19.69,2.26,4.31,0,1,2562,4,1,$4042^{+654}_{-645}$,$2764^{+3302}_{-1712}$,$54\pm5$,,Yes
10858832,K00432.01,Kepler-552 b,CONFIRMED,5751,18.57,3.91,5.26,0,1,0,4,0,$2764^{+379}_{-304}$,--,--,,--
8013439,K02352.02,Kepler-381 b,CONFIRMED,6136,10.24,0.92,5.63,0,0,2566,0,1,$2766^{+959}_{-890}$,$> 338$,$6\pm13$,,Yes
8013439,K02352.01,Kepler-381 c,CONFIRMED,6136,10.24,1.03,13.39,0,0,2566,0,1,$2766^{+959}_{-890}$,$> 338$,$6\pm13$,,Yes
8013439,K02352.03,Kepler-381 d,CONFIRMED,6136,10.24,0.90,8.26,0,1,2566,4,1,$2766^{+959}_{-890}$,$> 338$,$6\pm13$,,Yes
2692377,K00299.01,Kepler-98 b,CONFIRMED,5420,22.27,1.57,1.54,0,0,0,0,1,$2768^{+188}_{-165}$,$> 803$,$3\pm2$,,Yes
12017109,K02106.01,Kepler-1679 b,CONFIRMED,5627,20.35,1.77,9.75,0,0,0,0,0,$2769^{+293}_{-233}$,--,--,,--
5942949,K02525.01,Kepler-1849 b,CONFIRMED,4617,23.87,1.87,57.29,0,0,0,0,1,$2778^{+142}_{-133}$,$> 117$,$38\pm16$,,Yes
5436338,K02835.01,Kepler-1880 b,CONFIRMED,4502,23.21,1.77,6.31,0,0,0,0,1,$2778^{+153}_{-143}$,$> 180$,$-8\pm24$,,Yes
7364176,K00373.01,Kepler-1718 b,CONFIRMED,5775,18.23,2.40,135.19,0,0,0,0,1,$2780^{+453}_{-349}$,$> 679$,$16\pm3$,,Yes
10779233,K01989.01,Kepler-1040 b,CONFIRMED,5756,18.60,2.37,201.12,0,0,0,0,1,$2786^{+379}_{-306}$,$> 548$,$16\pm14$,,Yes
11254382,K01425.01,Kepler-843 b,CONFIRMED,5669,19.94,2.27,2.05,0,0,0,0,0,$2791^{+313}_{-251}$,--,--,,--
3935914,K00809.01,Kepler-686 b,CONFIRMED,5885,16.09,14.04,1.59,0,0,0,0,0,$2793^{+687}_{-509}$,--,--,,--
10134152,K02056.01,Kepler-1787 b,CONFIRMED,5760,18.58,2.03,39.31,0,0,0,0,0,$2794^{+397}_{-316}$,--,--,,--
10965588,K02177.01,Kepler-1132 b,CONFIRMED,5109,24.03,2.34,62.89,0,0,0,0,0,$2796^{+144}_{-136}$,--,--,,--
5942808,K02250.01,Kepler-1814 b,CONFIRMED,4846,24.54,2.44,2.94,0,1,0,4,1,$2799^{+130}_{-126}$,$> 282$,$5\pm18$,,Yes
5942808,K02250.02,Kepler-1814 c,CONFIRMED,4846,24.54,1.57,0.63,0,0,0,0,1,$2799^{+130}_{-126}$,$> 282$,$5\pm18$,,Yes
10905911,K02754.01,Kepler-1339 b,CONFIRMED,5407,22.55,0.74,1.34,1,0,642,0,1,$2802^{+192}_{-168}$,$> 396$,$33\pm3$,,Yes
8183288,K03255.01,Kepler-437 b,CONFIRMED,4550,23.70,1.56,66.65,0,0,0,0,1,$2806^{+148}_{-140}$,$> 204$,$-2\pm17$,,Yes
6428794,K04054.01,Kepler-1701 b,CONFIRMED,5216,23.70,2.22,169.14,0,0,0,0,1,$2813^{+156}_{-145}$,$> 574$,$4\pm11$,,Yes
11389771,K01436.01,Kepler-301 b,CONFIRMED,5576,21.21,1.28,2.51,0,0,0,0,1,$2820^{+241}_{-203}$,$> 868$,$-11\pm12$,,Yes
11389771,K01436.03,Kepler-301 c,CONFIRMED,5576,21.21,1.38,5.42,0,0,0,0,1,$2820^{+241}_{-203}$,$> 868$,$-11\pm12$,,Yes
11389771,K01436.02,Kepler-301 d,CONFIRMED,5576,21.21,1.66,13.75,0,0,0,0,1,$2820^{+241}_{-203}$,$> 868$,$-11\pm12$,,Yes
9704384,K01913.01,Kepler-1012 b,CONFIRMED,5552,21.51,1.27,5.51,0,1,0,4,1,$2829^{+219}_{-190}$,$> 628$,$-8\pm23$,,Yes
10842192,K02736.01,Kepler-1329 b,CONFIRMED,4524,23.70,1.90,9.34,0,1,0,4,1,$2832^{+155}_{-146}$,$> 206$,$-8\pm14$,,Yes
9904006,K02135.03,Kepler-361 b,CONFIRMED,6186,10.11,1.57,8.49,0,0,518,0,1,$2836^{+950}_{-957}$,$> 184$,$32\pm4$,,Yes
9904006,K02135.01,Kepler-361 c,CONFIRMED,6186,10.11,2.91,55.19,0,0,518,0,1,$2836^{+950}_{-957}$,$> 184$,$32\pm4$,,Yes
10190777,K01937.01,Kepler-1019 b,CONFIRMED,4393,22.74,1.30,1.41,0,1,0,4,1,$2837^{+164}_{-157}$,$> 176$,$3\pm11$,,Yes
7825899,K00896.02,Kepler-248 b,CONFIRMED,5043,24.54,2.79,6.31,0,0,0,0,1,$2845^{+142}_{-136}$,$> 295$,$-8\pm39$,,Yes
7825899,K00896.01,Kepler-248 c,CONFIRMED,5043,24.54,3.89,16.24,0,0,0,0,1,$2845^{+142}_{-136}$,$> 295$,$-8\pm39$,,Yes
6381846,K00509.01,Kepler-171 b,CONFIRMED,5672,20.21,2.67,4.17,0,0,0,0,1,$2851^{+315}_{-255}$,$> 693$,$-8\pm19$,,Yes
6381846,K00509.02,Kepler-171 c,CONFIRMED,5672,20.21,2.92,11.46,0,0,0,0,1,$2851^{+315}_{-255}$,$> 693$,$-8\pm19$,,Yes
6381846,K00509.03,Kepler-171 d,CONFIRMED,5672,20.21,2.16,39.60,0,0,0,0,1,$2851^{+315}_{-255}$,$> 693$,$-8\pm19$,,Yes
7769819,K02778.01,Kepler-1342 b,CONFIRMED,5192,24.03,1.59,2.22,0,0,0,0,0,$2853^{+162}_{-149}$,--,--,,--
8620402,K03267.01,Kepler-1913 b,CONFIRMED,5834,17.47,1.42,14.20,0,0,0,0,0,$2855^{+500}_{-394}$,--,--,,--
11621223,K00355.01,Kepler-535 b,CONFIRMED,6175,10.08,2.37,4.90,0,0,0,0,1,$2866^{+914}_{-915}$,$> 91$,$47\pm3$,,Yes
9364609,K02137.01,Kepler-1114 b,CONFIRMED,5234,23.92,1.32,14.97,0,0,2048,0,1,$2866^{+164}_{-151}$,$> 734$,$-17\pm11$,,Yes
4813563,K01959.01,Kepler-1026 b,CONFIRMED,4751,24.88,1.96,36.52,0,0,0,0,1,$2866^{+134}_{-131}$,$> 267$,$1\pm15$,,Yes
11192998,K00481.01,Kepler-166 b,CONFIRMED,5256,23.81,2.41,7.65,0,0,2048,0,1,$2866^{+167}_{-154}$,$> 586$,$-7\pm19$,,Yes
11192998,K00481.03,Kepler-166 c,CONFIRMED,5256,23.81,2.52,34.26,0,0,2048,0,1,$2866^{+167}_{-154}$,$> 586$,$-7\pm19$,,Yes
11192998,K00481.02,Kepler-166 d,CONFIRMED,5256,23.81,1.66,1.55,0,0,2048,0,1,$2866^{+167}_{-154}$,$> 586$,$-7\pm19$,,Yes
8490993,K00911.01,Kepler-722 b,CONFIRMED,5790,18.44,2.77,4.09,0,1,0,4,0,$2877^{+454}_{-355}$,--,--,,--
8490993,K00911.02,Kepler-722 c,CONFIRMED,5790,18.44,3.32,105.15,0,1,0,4,0,$2877^{+454}_{-355}$,--,--,,--
2985767,K02032.01,Kepler-1063 b,CONFIRMED,5670,20.38,2.08,14.08,1,0,928,0,1,$2879^{+340}_{-268}$,$> 758$,$7\pm9$,,Yes
12314973,K00279.01,Kepler-450 b,CONFIRMED,6167,10.24,6.08,28.45,1,0,2694,0,1,$2883^{+974}_{-929}$,$> 323$,$-8\pm10$,,Yes
12314973,K00279.02,Kepler-450 c,CONFIRMED,6167,10.24,2.59,15.41,1,0,2694,0,1,$2883^{+974}_{-929}$,$> 323$,$-8\pm10$,,Yes
11521793,K00352.02,Kepler-143 b,CONFIRMED,6023,13.17,2.24,16.01,0,1,2560,4,1,$2883^{+1027}_{-754}$,$> 423$,$13\pm12$,,Yes
11521793,K00352.01,Kepler-143 c,CONFIRMED,6023,13.17,2.74,27.08,0,1,2560,4,1,$2883^{+1027}_{-754}$,$> 423$,$13\pm12$,,Yes
8367644,K01879.01,Kepler-993 b,CONFIRMED,3847,21.00,3.24,22.09,0,0,2048,0,1,$2884^{+169}_{-202}$,$> 58$,$47\pm56$,,Yes
11069176,K02007.01,Kepler-1050 b,CONFIRMED,5946,15.03,1.37,15.38,0,0,2056,0,1,$2885^{+664}_{-521}$,$> 468$,$23\pm4$,,Yes
11069176,K02007.02,Kepler-1050 c,CONFIRMED,5946,15.03,1.33,21.13,0,0,2056,0,1,$2885^{+664}_{-521}$,$> 468$,$23\pm4$,,Yes
8008067,K00316.01,Kepler-139 b,CONFIRMED,5723,19.68,2.44,15.77,0,0,2048,0,1,$2889^{+301}_{-257}$,$> 794$,$8\pm4$,,Yes
8008067,K00316.02,Kepler-139 c,CONFIRMED,5723,19.68,2.45,157.07,0,0,2048,0,1,$2889^{+301}_{-257}$,$> 794$,$8\pm4$,,Yes
9650989,K03095.01,Kepler-1905 b,CONFIRMED,5742,19.39,1.20,3.42,0,0,0,0,0,$2893^{+367}_{-298}$,--,--,,--
10813132,K02378.01,Kepler-1215 b,CONFIRMED,5543,21.96,1.13,4.77,0,0,0,0,0,$2898^{+247}_{-207}$,--,--,,--
9963265,K02299.01,Kepler-1819 b,CONFIRMED,5844,17.45,27.01,16.49,0,1,0,4,0,$2898^{+586}_{-437}$,--,--,,--
10934674,K00477.01,Kepler-567 b,CONFIRMED,4981,25.05,2.10,16.54,0,0,0,0,0,$2903^{+142}_{-137}$,--,--,,--
6198999,K01687.01,Kepler-928 b,CONFIRMED,4554,24.37,1.44,3.93,0,0,64,0,1,$2906^{+149}_{-143}$,$> 166$,$17\pm19$,,Yes
9347009,K01971.01,Kepler-1030 b,CONFIRMED,4866,25.23,2.25,19.33,0,0,0,0,0,$2908^{+137}_{-134}$,--,--,,--
4857058,K03061.01,Kepler-1983 b,CONFIRMED,5067,24.88,2.02,7.33,0,1,0,4,0,$2915^{+152}_{-143}$,--,--,,--
4165473,K00550.01,Kepler-597 b,CONFIRMED,5486,22.58,2.33,13.02,0,0,0,0,1,$2918^{+228}_{-194}$,$> 776$,$5\pm6$,,Yes
4072526,K01329.01,Kepler-819 b,CONFIRMED,5276,24.03,2.46,33.20,0,0,0,0,0,$2923^{+174}_{-160}$,--,--,,--
11758544,K01883.01,Kepler-997 b,CONFIRMED,6095,11.63,1.33,2.71,0,0,518,0,1,$2929^{+1154}_{-892}$,$> 123$,$46\pm3$,,Yes
2444412,K00103.01,Kepler-1710 b,CONFIRMED,5562,21.96,2.56,14.91,0,0,0,0,1,$2932^{+238}_{-205}$,$> 909$,$-1\pm2$,,Yes
8142942,K01985.01,Kepler-1782 b,CONFIRMED,4863,25.40,1.87,5.76,0,1,0,4,1,$2936^{+139}_{-135}$,$> 319$,$8\pm7$,,Yes
9280239,K03975.01,Kepler-1536 b,CONFIRMED,4320,22.74,2.49,364.75,0,1,0,4,1,$2940^{+165}_{-164}$,$> 147$,$4\pm22$,,Yes
10252275,K03130.02,Kepler-1907 b,CONFIRMED,4932,25.40,0.74,5.65,0,1,0,4,1,$2946^{+143}_{-138}$,$> 437$,$-8\pm10$,,Yes
