kepid,kepoi_name,kepler_name,koi_disposition,adopted_Teff,adopted_Teff_err,adopted_Teff_provenance,Prot,Prot_err,Prot_provenance,li_eagles_LiEW,li_eagles_eLiEW,gyro_median,gyro_+1sigma,gyro_-1sigma,gyro_+2sigma,gyro_-2sigma,li_median,li_+1sigma,li_-1sigma,adopted_rp,adopted_rp_provenance,adopted_period,flag_gyro_quality,flag_planet_quality,has_hires,t_gyro,t_li,are_gyro_and_li_consistent
6184894,K05245.01,Kepler-1627 b,CONFIRMED,5357,95,2020AJ....159..280B,2.620,0.026,2021ApJS..255...17S,225,7,81,158,55,413,77,51,38,27,3.79,2022AJ....163..121B,7.2,2176,0,1,$81^{+158}_{-55}$,$51^{+38}_{-27}$,Yes
10736489,K07368.01,Kepler-1974 b,CONFIRMED,5068,76,2020AJ....159..280B,2.560,0.026,2021ApJS..255...17S,248,4,88,183,60,420,84,54,47,25,2.22,2022AJ....164..215B,6.84,2560,0,1,$88^{+183}_{-60}$,$54^{+47}_{-25}$,Yes
10717220,K06228.01,Kepler-1644 b,CONFIRMED,5521,109,2020AJ....159..280B,1.430,0.014,2021ApJS..255...17S,-2,13,77,144,53,409,74,,,,1.88,10.26133/NEA4,21.09,2690,4,1,$77^{+144}_{-53}$,$> 767$,No
8653134,K06186.01,Kepler-1643 b,CONFIRMED,4918,83,2020AJ....159..280B,5.05,0.05,SantosPrivComm,120,6,79,182,54,427,75,191,92,76,2.11,2022AJ....163..179P,5.34,0,0,1,$79^{+182}_{-54}$,$191^{+92}_{-76}$,Yes
11244682,K03933.01,Kepler-1699 b,CONFIRMED,5496,163,2021ApJS..255...17S,4.160,0.042,2021ApJS..255...17S,-11,7,85,106,58,233,81,,,,1.32,10.26133/NEA4,3.49,2688,0,1,$85^{+106}_{-58}$,$> 889$,No
5784777,K03916.01,Kepler-1529 b,CONFIRMED,4974,99,2020AJ....159..280B,6.43,0.06,SantosPrivComm,200,6,109,117,71,276,104,90,53,39,2.01,2020AJ....160..108B,5.34,0,0,1,$109^{+117}_{-71}$,$90^{+53}_{-39}$,Yes
11187436,K01804.01,Kepler-957 b,CONFIRMED,4947,86,2020AJ....159..280B,4.520,0.045,2019ApJS..244...21S,24,9,96,196,66,422,91,,,,6.9,2022AJ....163..179P,5.91,0,0,1,$96^{+196}_{-66}$,$> 241$,Yes
8873450,K07913.01,Kepler-1975 b,CONFIRMED,4450,132,2019ApJS..244...21S,3.360,0.034,2019ApJS..244...21S,56,9,96,223,66,439,92,,,,2.03,10.26133/NEA4,24.28,2816,0,1,$96^{+223}_{-66}$,$> 57$,Yes
4947556,K03936.02,Kepler-1930 b,CONFIRMED,4906,89,2020AJ....159..280B,7.10,0.07,2019ApJS..244...21S,170,4,174,106,65,236,142,115,55,49,1.52,2022AJ....163..179P,13.03,0,4,1,$174^{+106}_{-65}$,$115^{+55}_{-49}$,Yes
3440118,K03876.01,Kepler-1928 b,CONFIRMED,5577,86,2020AJ....159..280B,4.640,0.046,2021ApJS..255...17S,137,4,148,102,87,189,139,189,150,94,1.86,2022AJ....163..179P,19.58,2048,0,1,$148^{+102}_{-87}$,$189^{+150}_{-94}$,Yes
5906694,K04069.01,Kepler-1938 b,CONFIRMED,4617,82,2020AJ....159..280B,7.82,0.08,2019ApJS..244...21S,6,16,152,112,42,340,62,,,,1.47,2022AJ....163..179P,13.06,2048,0,1,$152^{+112}_{-42}$,$> 208$,Yes
6779260,K02678.01,Kepler-1313 b,CONFIRMED,5236,85,2020AJ....159..280B,6.13,0.06,2021ApJS..255...17S,142,3,197,112,91,210,178,174,96,72,1.71,2022AJ....163..179P,3.83,2048,4,1,$197^{+112}_{-91}$,$174^{+96}_{-72}$,Yes
5644412,K04194.01,Kepler-1565 b,CONFIRMED,4958,96,2020AJ....159..280B,7.40,0.07,2019ApJS..244...21S,133,7,230,111,85,227,129,174,81,72,1.27,2020AJ....160..108B,1.54,0,0,1,$230^{+111}_{-85}$,$174^{+81}_{-72}$,Yes
2581554,K03835.01,Kepler-1521 b,CONFIRMED,4806,80,2020AJ....159..280B,7.82,0.08,2019ApJS..244...21S,117,5,207,98,68,219,103,176,79,69,2.3,2022AJ....163..179P,47.15,2048,0,1,$207^{+98}_{-68}$,$176^{+79}_{-69}$,Yes
5526527,K01838.01,Kepler-970 b,CONFIRMED,4314,73,2020AJ....159..280B,9.23,0.09,2019ApJS..244...21S,36,14,177,124,39,351,62,,,,2.15,2022AJ....163..179P,16.74,0,4,1,$177^{+124}_{-39}$,$> 92$,Yes
11554435,K00063.01,Kepler-63 b,CONFIRMED,5486,82,2020AJ....159..280B,5.49,0.05,2018MNRAS.474.2094A,89,4,223,98,92,178,184,542,475,256,5.64,2022AJ....163..179P,9.43,4096,0,1,$223^{+98}_{-92}$,$542^{+475}_{-256}$,Yes
3859079,K01199.01,Kepler-786 b,CONFIRMED,4680,76,2020AJ....159..280B,33.06,1.05,2019ApJS..244...21S,83,6,,,,583,722,228,168,87,2.31,2022AJ....163..179P,53.53,0,0,1,$> 4000$,$228^{+168}_{-87}$,No
9031209,K03316.01,Kepler-1467 b,CONFIRMED,5252,100,2020AJ....159..280B,6.31,0.06,2021ApJS..255...17S,122,6,230,112,98,207,190,236,151,95,3.11,2020AJ....160..108B,47.06,0,0,1,$230^{+112}_{-98}$,$236^{+151}_{-95}$,Yes
10272640,K01074.01,Kepler-762 b,CONFIRMED,5921,115,2020AJ....159..280B,4.010,0.040,SantosPrivComm,-27,25,245,114,100,362,207,,,,15.19,2020AJ....160..108B,3.77,512,0,1,$245^{+114}_{-100}$,$> 548$,Maybe
5856571,K01839.01,Kepler-971 b,CONFIRMED,5447,89,2020AJ....159..280B,6.22,0.06,2021ApJS..255...17S,105,6,306,95,115,168,190,366,290,164,3.93,10.26133/NEA4,9.59,128,0,1,$306^{+95}_{-115}$,$366^{+290}_{-164}$,Yes
11853878,K01833.01,Kepler-968 b,CONFIRMED,4413,75,2020AJ....159..280B,10.46,0.10,2019ApJS..244...21S,10,18,328,108,87,298,144,,,,1.85,2022AJ....163..179P,3.69,0,0,1,$328^{+108}_{-87}$,$> 159$,Yes
11853878,K01833.03,Kepler-968 c,CONFIRMED,4413,75,2020AJ....159..280B,10.46,0.10,2019ApJS..244...21S,10,18,328,108,87,298,144,,,,1.63,2022AJ....163..179P,5.71,0,0,1,$328^{+108}_{-87}$,$> 159$,Yes
11853878,K01833.02,Kepler-968 d,CONFIRMED,4413,75,2020AJ....159..280B,10.46,0.10,2019ApJS..244...21S,10,18,328,108,87,298,144,,,,2.28,2022AJ....163..179P,7.68,0,4,1,$328^{+108}_{-87}$,$> 159$,Yes
5794570,K02675.01,Kepler-1312 b,CONFIRMED,5584,87,2020AJ....159..280B,6.13,0.06,2018MNRAS.474.2094A,86,4,357,75,109,140,209,642,617,318,2.07,2022AJ....163..179P,5.45,4096,0,1,$357^{+75}_{-109}$,$642^{+617}_{-318}$,Yes
5794570,K02675.02,Kepler-1312 c,CONFIRMED,5584,87,2020AJ....159..280B,6.13,0.06,2018MNRAS.474.2094A,86,4,357,75,109,140,209,642,617,318,0.94,2022AJ....163..179P,1.12,4096,0,1,$357^{+75}_{-109}$,$642^{+617}_{-318}$,Yes
11754553,K00775.02,Kepler-52 b,CONFIRMED,4164,62,2020AJ....159..280B,11.85,0.12,2019ApJS..244...21S,22,18,360,208,97,693,147,,,,2.19,2022AJ....163..179P,7.88,0,0,1,$360^{+208}_{-97}$,$> 100$,Yes
11754553,K00775.01,Kepler-52 c,CONFIRMED,4164,62,2020AJ....159..280B,11.85,0.12,2019ApJS..244...21S,22,18,360,208,97,693,147,,,,2.04,2022AJ....163..179P,16.38,0,0,1,$360^{+208}_{-97}$,$> 100$,Yes
11754553,K00775.03,Kepler-52 d,CONFIRMED,4164,62,2020AJ....159..280B,11.85,0.12,2019ApJS..244...21S,22,18,360,208,97,693,147,,,,2.03,2022AJ....163..179P,36.45,0,0,1,$360^{+208}_{-97}$,$> 100$,Yes
4814502,K04004.01,Kepler-1933 b,CONFIRMED,5576,90,2020AJ....159..280B,6.21,0.06,2021ApJS..255...17S,85,3,366,74,109,139,214,642,603,318,1.01,2022AJ....163..179P,4.94,0,4,1,$366^{+74}_{-109}$,$642^{+603}_{-318}$,Yes
8261920,K02174.03,Kepler-1802 b,CONFIRMED,4245,85,2019ApJS..244...21S,11.45,0.11,2019ApJS..244...21S,,,379,201,109,634,170,,,,1.71,10.26133/NEA4,7.73,820,4,0,$379^{+201}_{-109}$,--,--
8261920,K02174.02,Kepler-1802 c,CONFIRMED,4245,85,2019ApJS..244...21S,11.45,0.11,2019ApJS..244...21S,,,379,201,109,634,170,,,,2.05,10.26133/NEA4,33.14,820,0,0,$379^{+201}_{-109}$,--,--
5895158,K03935.01,Kepler-1532 b,CONFIRMED,5554,97,2020AJ....159..280B,6.48,0.06,2021ApJS..255...17S,90,6,397,71,102,135,228,567,545,278,1.26,2020AJ....160..108B,1.09,0,0,1,$397^{+71}_{-102}$,$567^{+545}_{-278}$,Yes
5088591,K01801.01,Kepler-955 b,CONFIRMED,5221,92,2020AJ....159..280B,7.50,0.07,2021ApJS..255...17S,79,4,397,99,131,183,241,536,481,237,2.69,2020AJ....160..108B,14.53,0,0,1,$397^{+99}_{-131}$,$536^{+481}_{-237}$,Yes
11017901,K01800.01,Kepler-447 b,CONFIRMED,5648,89,2020AJ....159..280B,6.40,0.06,2021ApJS..255...17S,103,3,420,64,78,128,202,405,355,203,18.494818206048823,2022AJ....163..179P,7.79,2048,4,1,$420^{+64}_{-78}$,$405^{+355}_{-203}$,Yes
11657614,K03370.02,Kepler-1481 b,CONFIRMED,4832,84,2020AJ....159..280B,9.11,0.09,2019ApJS..244...21S,22,7,407,126,118,286,219,,,,1.09,2022AJ....163..179P,5.94,0,0,1,$407^{+126}_{-118}$,$> 210$,Yes
5881120,K04156.01,Kepler-1943 b,CONFIRMED,6002,118,2020AJ....159..280B,nan,nan,,99,5,,,,,,409,520,254,1.29,2022AJ....163..179P,4.85,518,4,1,--,$409^{+520}_{-254}$,No
5640085,K00448.01,Kepler-159 b,CONFIRMED,4511,81,2020AJ....159..280B,10.50,0.10,2015ApJ...801....3M,19,10,415,160,110,519,198,,,,2.3,2022AJ....163..179P,10.14,4096,0,1,$415^{+160}_{-110}$,$> 161$,Yes
5640085,K00448.02,Kepler-159 c,CONFIRMED,4511,81,2020AJ....159..280B,10.50,0.10,2015ApJ...801....3M,19,10,415,160,110,519,198,,,,2.75,2020AJ....160..108B,43.59,4096,0,1,$415^{+160}_{-110}$,$> 161$,Yes
10905239,K00046.01,Kepler-101 b,CONFIRMED,5498,114,2020AJ....159..280B,nan,nan,,100,5,,,,,,419,349,196,5.9,2022AJ....163..179P,3.49,1542,0,1,--,$419^{+349}_{-196}$,No
7838675,K04169.01,Kepler-1561 b,CONFIRMED,5742,105,2020AJ....159..280B,6.18,0.06,2021ApJS..255...17S,66,3,426,74,78,187,195,1409,1718,788,0.94,2020AJ....160..108B,1.01,2048,0,1,$426^{+74}_{-78}$,$1409^{+1718}_{-788}$,Maybe
5175986,K02708.01,Kepler-1320 b,CONFIRMED,4536,81,2020AJ....159..280B,10.46,0.10,2019ApJS..244...21S,25,32,430,173,113,520,206,,,,1.39,2020AJ....160..108B,0.87,0,0,1,$430^{+173}_{-113}$,$> 140$,Yes
9471974,K00119.01,Kepler-108 b,CONFIRMED,5626,,2017ApJS..229...30M,nan,nan,,100,5,,,,,,438,402,220,8.2,10.26133/NEA4,49.18,418,0,1,--,$438^{+402}_{-220}$,No
9471974,K00119.02,Kepler-108 c,CONFIRMED,5626,,2017ApJS..229...30M,nan,nan,,100,5,,,,,,438,402,220,7.78,10.26133/NEA4,190.32,418,4,1,--,$438^{+402}_{-220}$,No
9139084,K00323.01,Kepler-523 b,CONFIRMED,5267,86,2020AJ....159..280B,7.60,0.08,2021ApJS..255...17S,49,4,444,87,114,166,254,1824,2706,1047,1.9,2022AJ....163..179P,5.84,0,0,1,$444^{+87}_{-114}$,$1824^{+2706}_{-1047}$,Maybe
9532052,K02115.01,Kepler-67 b,CONFIRMED,5126,98,2020AJ....159..280B,10.39,0.10,2021ApJS..255...17S,83,10,878,108,121,207,247,458,451,206,2.96,2020AJ....160..108B,15.73,0,0,1,$878^{+108}_{-121}$,$458^{+451}_{-206}$,Yes
10666592,K00002.01,Kepler-2 b,CONFIRMED,6436,132,2020AJ....159..280B,nan,nan,,83,4,,,,,,485,924,353,16.42,2022AJ....163..179P,2.2,7,0,1,--,$485^{+924}_{-353}$,--
11125797,K03371.02,Kepler-1482 b,CONFIRMED,5330,85,2020AJ....159..280B,7.70,0.08,2021ApJS..255...17S,52,3,491,76,91,150,229,1630,2285,904,1.0,10.26133/NEA4,12.25,640,0,1,$491^{+76}_{-91}$,$1630^{+2285}_{-904}$,Maybe
8424002,K03497.01,Kepler-1512 b,CONFIRMED,4894,65,2020AJ....159..280B,9.33,0.09,2018MNRAS.474.2094A,14,8,505,135,115,310,234,,,,0.8,10.26133/NEA4,20.36,4738,4,1,$505^{+135}_{-115}$,$> 295$,Yes
4164922,K03864.01,Kepler-1698 b,CONFIRMED,4866,79,2020AJ....159..280B,9.49,0.09,2019ApJS..244...21S,2,8,518,151,123,338,245,,,,0.9,2022AJ....163..179P,1.21,1024,0,1,$518^{+151}_{-123}$,$> 358$,Yes
3642335,K03010.01,Kepler-1410 b,CONFIRMED,3808,76,2019ApJS..244...21S,14.19,0.14,2019ApJS..244...21S,-21,24,523,612,196,1113,261,,,,1.39,10.26133/NEA4,60.87,512,0,1,$523^{+612}_{-196}$,$> 80$,Yes
7935997,K05447.02,Kepler-1629 b,CONFIRMED,5585,93,2020AJ....159..280B,7.45,0.07,2021ApJS..255...17S,,,529,62,62,131,134,,,,0.67,2020AJ....160..108B,3.88,0,0,0,$529^{+62}_{-62}$,--,--
5177859,K04246.01,Kepler-1576 b,CONFIRMED,5794,90,2020AJ....159..280B,7.09,0.07,SantosPrivComm,17,8,559,103,71,360,137,,,,0.9,2020AJ....160..108B,6.98,0,0,1,$559^{+103}_{-71}$,$> 613$,Yes
4271474,K03324.01,Kepler-1469 b,CONFIRMED,5356,110,2020AJ....159..280B,8.15,0.08,2021ApJS..255...17S,-5,25,562,75,82,152,192,,,,2.53,2020AJ....160..108B,21.86,0,0,1,$562^{+75}_{-82}$,$> 535$,Yes
9909735,K01779.01,Kepler-318 b,CONFIRMED,5799,90,2020AJ....159..280B,7.09,0.07,2021ApJS..255...17S,65,3,562,106,72,375,138,1507,1876,858,3.97,2022AJ....163..179P,4.66,0,0,1,$562^{+106}_{-72}$,$1507^{+1876}_{-858}$,Yes
9909735,K01779.02,Kepler-318 c,CONFIRMED,5799,90,2020AJ....159..280B,7.09,0.07,2021ApJS..255...17S,65,3,562,106,72,375,138,1507,1876,858,3.1,2022AJ....163..179P,11.82,0,4,1,$562^{+106}_{-72}$,$1507^{+1876}_{-858}$,Yes
3967326,K02084.01,Kepler-1792 b,CONFIRMED,4942,115,2020AJ....159..280B,9.49,0.09,2021ApJS..255...17S,13,11,587,155,144,305,282,,,,2.15,2020AJ....160..108B,4.2,0,0,1,$587^{+155}_{-144}$,$> 312$,Yes
9790806,K02035.01,Kepler-1066 b,CONFIRMED,5847,88,2020AJ....159..280B,7.00,0.07,2021ApJS..255...17S,60,4,588,158,85,705,155,2018,2616,1187,1.96,2022AJ....163..179P,1.93,1024,4,1,$588^{+158}_{-85}$,$2018^{+2616}_{-1187}$,Maybe
5280587,K03274.01,Kepler-1451 b,CONFIRMED,5675,102,2020AJ....159..280B,7.82,0.08,2021ApJS..255...17S,42,4,597,79,65,210,127,,,,2.33,2020AJ....160..108B,35.62,0,0,1,$597^{+79}_{-65}$,$> 316$,Yes
4278221,K01615.01,Kepler-908 b,CONFIRMED,5670,98,2020AJ....159..280B,7.88,0.08,2018MNRAS.474.2094A,67,4,602,77,65,194,126,1317,1607,724,1.36,2022AJ....163..179P,1.34,4608,0,1,$602^{+77}_{-65}$,$1317^{+1607}_{-724}$,Yes
8564674,K02022.01,Kepler-349 b,CONFIRMED,5756,92,2020AJ....159..280B,7.71,0.08,2021ApJS..255...17S,64,6,617,103,72,333,135,1686,2185,976,1.99,2020AJ....160..108B,5.93,0,0,1,$617^{+103}_{-72}$,$1686^{+2185}_{-976}$,Yes
8564674,K02022.02,Kepler-349 c,CONFIRMED,5756,92,2020AJ....159..280B,7.71,0.08,2021ApJS..255...17S,64,6,617,103,72,333,135,1686,2185,976,1.97,2020AJ....160..108B,12.25,0,0,1,$617^{+103}_{-72}$,$1686^{+2185}_{-976}$,Yes
11773022,K00620.01,Kepler-51 b,CONFIRMED,5635,100,2020AJ....159..280B,8.14,0.08,2021ApJS..255...17S,48,8,623,75,65,177,126,,,,6.62,2020AJ....160..108B,45.16,0,0,1,$623^{+75}_{-65}$,$> 258$,Yes
11773022,K00620.03,Kepler-51 c,CONFIRMED,5635,100,2020AJ....159..280B,8.14,0.08,2021ApJS..255...17S,48,8,623,75,65,177,126,,,,5.49,2020AJ....160..108B,85.32,0,4,1,$623^{+75}_{-65}$,$> 258$,Yes
11773022,K00620.02,Kepler-51 d,CONFIRMED,5635,100,2020AJ....159..280B,8.14,0.08,2021ApJS..255...17S,48,8,623,75,65,177,126,,,,9.04,2020AJ....160..108B,130.18,0,0,1,$623^{+75}_{-65}$,$> 258$,Yes
9898447,K02803.01,Kepler-1877 b,CONFIRMED,5506,95,2020AJ....159..280B,8.37,0.08,2021ApJS..255...17S,3,12,624,69,65,142,131,,,,0.55,2022AJ....163..179P,2.38,1024,0,1,$624^{+69}_{-65}$,$> 726$,Maybe
9963524,K00720.04,Kepler-221 b,CONFIRMED,5070,84,2020AJ....159..280B,9.30,0.09,2021ApJS..255...17S,21,5,636,120,115,242,232,,,,1.51,2022AJ....163..179P,2.8,0,0,1,$636^{+120}_{-115}$,$> 341$,Yes
9963524,K00720.01,Kepler-221 c,CONFIRMED,5070,84,2020AJ....159..280B,9.30,0.09,2021ApJS..255...17S,21,5,636,120,115,242,232,,,,2.86,2022AJ....163..179P,5.69,0,0,1,$636^{+120}_{-115}$,$> 341$,Yes
9963524,K00720.02,Kepler-221 d,CONFIRMED,5070,84,2020AJ....159..280B,9.30,0.09,2021ApJS..255...17S,21,5,636,120,115,242,232,,,,2.57,2022AJ....163..179P,10.04,0,0,1,$636^{+120}_{-115}$,$> 341$,Yes
9963524,K00720.03,Kepler-221 e,CONFIRMED,5070,84,2020AJ....159..280B,9.30,0.09,2021ApJS..255...17S,21,5,636,120,115,242,232,,,,2.58,2022AJ....163..179P,18.37,0,4,1,$636^{+120}_{-115}$,$> 341$,Yes
7582689,K03097.02,Kepler-431 b,CONFIRMED,6259,129,2020AJ....159..280B,16.16,0.21,2018MNRAS.474.2094A,80,3,,,,,,671,1092,458,0.93,2022AJ....163..179P,6.8,4103,4,1,--,$671^{+1092}_{-458}$,--
7582689,K03097.03,Kepler-431 c,CONFIRMED,6259,129,2020AJ....159..280B,16.16,0.21,2018MNRAS.474.2094A,80,3,,,,,,671,1092,458,0.93,2022AJ....163..179P,8.7,4103,4,1,--,$671^{+1092}_{-458}$,--
7582689,K03097.01,Kepler-431 d,CONFIRMED,6259,129,2020AJ....159..280B,16.16,0.21,2018MNRAS.474.2094A,80,3,,,,,,671,1092,458,1.08,2022AJ....163..179P,11.92,4103,4,1,--,$671^{+1092}_{-458}$,--
6862721,K01982.01,Kepler-1781 b,CONFIRMED,5363,99,2020AJ....159..280B,9.17,0.09,2021ApJS..255...17S,,,708,80,78,161,156,,,,1.95,2020AJ....160..108B,4.89,0,0,0,$708^{+80}_{-78}$,--,--
6779726,K03375.01,Kepler-1918 b,CONFIRMED,5522,100,2020AJ....159..280B,9.11,0.09,2021ApJS..255...17S,,,722,75,71,157,137,,,,2.19,2020AJ....160..108B,47.06,0,0,0,$722^{+75}_{-71}$,--,--
9471268,K01835.02,Kepler-326 b,CONFIRMED,5142,65,2020AJ....159..280B,9.56,0.10,2019ApJS..244...21S,8,8,724,108,103,213,203,,,,1.25,10.26133/NEA4,2.25,1664,0,1,$724^{+108}_{-103}$,$> 506$,Yes
9471268,K01835.01,Kepler-326 c,CONFIRMED,5142,65,2020AJ....159..280B,9.56,0.10,2019ApJS..244...21S,8,8,724,108,103,213,203,,,,1.38,10.26133/NEA4,4.58,1664,0,1,$724^{+108}_{-103}$,$> 506$,Yes
9471268,K01835.03,Kepler-326 d,CONFIRMED,5142,65,2020AJ....159..280B,9.56,0.10,2019ApJS..244...21S,8,8,724,108,103,213,203,,,,1.31,10.26133/NEA4,6.77,1664,0,1,$724^{+108}_{-103}$,$> 506$,Yes
10676014,K01797.01,Kepler-954 b,CONFIRMED,4736,71,2020AJ....159..280B,10.68,0.11,2019ApJS..244...21S,4,11,727,222,184,389,308,,,,2.16,2022AJ....163..179P,16.78,1024,0,1,$727^{+222}_{-184}$,$> 270$,Yes
8832512,K01821.01,Kepler-963 b,CONFIRMED,5383,100,2020AJ....159..280B,9.42,0.09,SantosPrivComm,,,748,80,78,160,155,,,,2.64,2020AJ....160..108B,9.98,0,0,0,$748^{+80}_{-78}$,--,--
2581316,K03681.01,Kepler-1514 b,CONFIRMED,5852,109,2020AJ....159..280B,7.87,0.08,2021ApJS..255...17S,69,2,758,416,142,1401,225,1302,1622,754,11.94,2022AJ....163..179P,217.83,1540,0,1,$758^{+416}_{-142}$,$1302^{+1622}_{-754}$,Yes
2581316,K03681.02,Kepler-1514 c,CONFIRMED,5852,109,2020AJ....159..280B,7.87,0.08,2021ApJS..255...17S,69,2,758,416,142,1401,225,1302,1622,754,1.17,2022AJ....163..179P,10.51,1540,4,1,$758^{+416}_{-142}$,$1302^{+1622}_{-754}$,Yes
5531694,K00647.01,Kepler-634 b,CONFIRMED,6272,122,2020AJ....159..280B,nan,nan,,77,3,,,,,,768,1250,527,2.13,2022AJ....163..179P,5.17,7,0,1,--,$768^{+1250}_{-527}$,--
9634821,K02037.01,Kepler-1995 b,CONFIRMED,4746,77,2020AJ....159..280B,10.80,0.11,2021AJ....161..265D,9,21,772,213,194,371,327,,,,3.46,2020AJ....160..108B,73.76,4096,0,1,$772^{+213}_{-194}$,$> 223$,Yes
11551692,K01781.02,Kepler-411 b,CONFIRMED,4920,98,2019ApJS..244...21S,10.32,0.10,2019ApJS..244...21S,4,3,775,164,166,295,306,,,,2.2,10.26133/NEA4,3.01,0,4,1,$775^{+164}_{-166}$,$> 396$,Yes
11551692,K01781.01,Kepler-411 c,CONFIRMED,4920,98,2019ApJS..244...21S,10.32,0.10,2019ApJS..244...21S,4,3,775,164,166,295,306,,,,3.47,10.26133/NEA4,7.83,0,0,1,$775^{+164}_{-166}$,$> 396$,Yes
11551692,K01781.03,Kepler-411 d,CONFIRMED,4920,98,2019ApJS..244...21S,10.32,0.10,2019ApJS..244...21S,4,3,775,164,166,295,306,,,,3.46,10.26133/NEA4,58.02,0,4,1,$775^{+164}_{-166}$,$> 396$,Yes
11446443,K00001.01,Kepler-1 b,CONFIRMED,5730,102,2020AJ....159..280B,nan,nan,,81,3,,,,,,785,845,419,14.04,2022AJ....163..179P,2.47,0,4,1,--,$785^{+845}_{-419}$,No
7447200,K00676.02,Kepler-210 b,CONFIRMED,4417,74,2020AJ....159..280B,12.10,0.12,2019ApJS..244...21S,9,14,828,271,252,470,407,,,,2.86,2022AJ....163..179P,2.45,0,0,1,$828^{+271}_{-252}$,$> 166$,Yes
7447200,K00676.01,Kepler-210 c,CONFIRMED,4417,74,2020AJ....159..280B,12.10,0.12,2019ApJS..244...21S,9,14,828,271,252,470,407,,,,4.08,2020AJ....160..108B,7.97,0,0,1,$828^{+271}_{-252}$,$> 166$,Yes
9635606,K02535.01,Kepler-1853 b,CONFIRMED,4781,80,2020AJ....159..280B,10.91,0.11,2019ApJS..244...21S,3,8,830,196,200,342,342,,,,1.56,2022AJ....163..179P,48.89,0,4,1,$830^{+196}_{-200}$,$> 305$,Yes
7286173,K01862.01,Kepler-986 b,CONFIRMED,5679,93,2020AJ....159..280B,9.55,0.10,2021ApJS..255...17S,7,5,832,113,87,339,162,,,,2.28,2020AJ....160..108B,56.43,0,0,1,$832^{+113}_{-87}$,$> 812$,Yes
5375194,K01825.01,Kepler-964 b,CONFIRMED,5211,88,2020AJ....159..280B,10.10,0.10,2021ApJS..255...17S,4,12,839,97,101,189,203,,,,2.1,2022AJ....163..179P,13.52,0,0,1,$839^{+97}_{-101}$,$> 561$,Yes
8612275,K02111.01,Kepler-360 b,CONFIRMED,5501,92,2020AJ....159..280B,10.10,0.10,2021ApJS..255...17S,32,14,858,80,76,165,151,,,,1.4,2020AJ....160..108B,3.29,0,0,1,$858^{+80}_{-76}$,$> 391$,Yes
8612275,K02111.02,Kepler-360 c,CONFIRMED,5501,92,2020AJ....159..280B,10.10,0.10,2021ApJS..255...17S,32,14,858,80,76,165,151,,,,2.24,2020AJ....160..108B,7.19,0,4,1,$858^{+80}_{-76}$,$> 391$,Yes
7826620,K04268.01,Kepler-1579 b,CONFIRMED,4215,103,2020AJ....159..280B,12.88,0.13,2019ApJS..244...21S,17,20,859,316,310,561,512,,,,0.59,10.26133/NEA4,0.85,128,0,1,$859^{+316}_{-310}$,$> 115$,Yes
9527334,K00049.01,Kepler-461 b,CONFIRMED,5839,111,2020AJ....159..280B,8.54,0.09,SantosPrivComm,7,13,860,464,164,1398,256,,,,3.77,2022AJ....163..179P,8.31,512,0,1,$860^{+464}_{-164}$,$> 620$,Yes
9351316,K02078.01,Kepler-1086 b,CONFIRMED,4332,75,2020AJ....159..280B,12.53,0.13,2019ApJS..244...21S,10,22,861,284,271,498,443,,,,2.05,2022AJ....163..179P,18.78,0,0,1,$861^{+284}_{-271}$,$> 144$,Yes
9351316,K02078.02,Kepler-1086 c,CONFIRMED,4332,75,2020AJ....159..280B,12.53,0.13,2019ApJS..244...21S,10,22,861,284,271,498,443,,,,3.06,2022AJ....163..179P,161.52,0,0,1,$861^{+284}_{-271}$,$> 144$,Yes
5688683,K04097.01,Kepler-1939 b,CONFIRMED,4300,58,2020AJ....159..280B,12.70,0.13,2019ApJS..244...21S,12,11,873,286,273,510,442,,,,1.05,2022AJ....163..179P,2.79,128,0,1,$873^{+286}_{-273}$,$> 148$,Yes
10489206,K00251.01,Kepler-125 b,CONFIRMED,3896,77,2020AJ....159..280B,14.39,0.14,2019ApJS..244...21S,19,28,873,442,406,874,559,,,,2.64,2022AJ....163..179P,4.16,0,0,1,$873^{+442}_{-406}$,$> 76$,Yes
10489206,K00251.02,Kepler-125 c,CONFIRMED,3896,77,2020AJ....159..280B,14.39,0.14,2019ApJS..244...21S,19,28,873,442,406,874,559,,,,0.85,2022AJ....163..179P,5.77,0,0,1,$873^{+442}_{-406}$,$> 76$,Yes
7659389,K02734.01,Kepler-1872 b,CONFIRMED,4972,91,2020AJ....159..280B,10.61,0.11,2021ApJS..255...17S,,,874,140,162,257,308,,,,2.94,2020AJ....160..108B,3.83,0,4,0,$874^{+140}_{-162}$,--,--
4473613,K04803.01,Kepler-1623 b,CONFIRMED,5440,92,2020AJ....159..280B,10.25,0.10,2021ApJS..255...17S,,,875,79,78,162,155,,,,1.22,2020AJ....160..108B,4.36,0,0,0,$875^{+79}_{-78}$,--,--
6879171,K04188.01,Kepler-1947 b,CONFIRMED,5634,101,2020AJ....159..280B,10.09,0.10,2021ApJS..255...17S,44,5,894,110,87,328,165,,,,0.87,2022AJ....163..179P,6.96,0,0,1,$894^{+110}_{-87}$,$> 301$,Yes
