kepid,kepoi_name,kepler_name,koi_disposition,adopted_Teff,adopted_Teff_err,adopted_Teff_provenance,Prot,Prot_err,Prot_provenance,li_eagles_LiEW,li_eagles_eLiEW,gyro_median,gyro_+1sigma,gyro_-1sigma,gyro_+2sigma,gyro_-2sigma,li_median,li_+1sigma,li_-1sigma,adopted_rp,adopted_rp_provenance,adopted_period,flag_gyro_quality,flag_planet_quality,has_hires,t_gyro,t_li,are_gyro_and_li_consistent
10812541,K07375.01,,CANDIDATE,4212,57,2020AJ....159..280B,3.880,0.039,2019ApJS..244...21S,117,9,104,235,72,443,99,70,37,21,1.73,2022AJ....163..179P,4.85,2560,0,1,$104^{+235}_{-72}$,$70^{+37}_{-21}$,Yes
10352333,K03991.01,,CANDIDATE,5226,93,2020AJ....159..280B,5.22,0.05,2021ApJS..255...17S,98,3,71,91,48,260,68,354,253,145,1.37,10.26133/NEA4,1.57,2176,0,1,$71^{+91}_{-48}$,$354^{+253}_{-145}$,Maybe
5475431,K01546.01,,CANDIDATE,5639,90,2020AJ....159..280B,0.900,0.009,2021ApJS..255...17S,33,24,75,134,51,405,72,,,,11.92,10.26133/NEA4,0.92,2176,0,1,$75^{+134}_{-51}$,$> 316$,Maybe
8158429,K05482.01,,CANDIDATE,5519,115,2020AJ....159..280B,0.810,0.008,2021ApJS..255...17S,,,77,144,53,409,74,,,,2.96,10.26133/NEA4,31.71,2690,4,0,$77^{+144}_{-53}$,--,--
7051180,K00064.01,,CANDIDATE,5306,359,2020AJ....159..280B,2.230,0.022,2018MNRAS.474.2094A,3,4,81,129,55,393,77,,,,10.49,2020AJ....160..108B,1.95,4614,4,1,$81^{+129}_{-55}$,$> 567$,No
8822421,K06188.01,,CANDIDATE,5209,98,2020AJ....159..280B,1.620,0.016,2021ApJS..255...17S,6,11,84,171,58,416,80,,,,2.75,2020AJ....160..108B,1.65,2048,0,1,$84^{+171}_{-58}$,$> 554$,Maybe
5196864,K02695.01,,CANDIDATE,5174,154,2019ApJS..244...21S,2.880,0.029,2019ApJS..244...21S,,,86,176,59,418,82,,,,20.23,10.26133/NEA4,2.5,640,4,0,$86^{+176}_{-59}$,--,--
11495989,K07449.01,,CANDIDATE,4928,82,2020AJ....159..280B,1.310,0.013,2019ApJS..244...21S,,,92,194,63,424,87,,,,20.43,2020AJ....160..108B,1.32,2048,4,0,$92^{+194}_{-63}$,--,--
5428657,K06130.01,,CANDIDATE,4560,91,2020AJ....159..280B,3.020,0.030,2019ApJS..244...21S,-1,25,94,217,65,436,90,,,,1.45,2020AJ....160..108B,1.54,2976,0,1,$94^{+217}_{-65}$,$> 186$,Yes
9153823,K06195.01,,CANDIDATE,4677,80,2020AJ....159..280B,1.420,0.014,2019ApJS..244...21S,-8,30,94,210,65,431,90,,,,2.28,2020AJ....160..108B,1.44,2048,0,1,$94^{+210}_{-65}$,$> 208$,Yes
